dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
1723.0,-59.0,1250.0,35.35533905932738,2,1723.5
1727.0,-54.0,2888.0,53.74011537017761,2,1727.5
1728.0,-25.0,0.0,0.0,1,1728.5
1729.0,-61.0,1058.0,32.526911934581186,2,1729.5
1738.0,-53.0,3042.0,55.154328932550705,2,1738.5
1740.0,-24.0,0.0,0.0,1,1740.5
1743.0,-30.0,0.0,0.0,1,1743.5
1750.0,-35.0,0.0,0.0,1,1750.5
1751.0,-53.0,3042.0,55.154328932550705,2,1751.5
1753.0,-23.0,0.0,0.0,1,1753.5
1759.0,-42.0,0.0,0.0,1,1759.5
1765.0,-24.0,0.0,0.0,1,1765.5
1778.0,-23.0,0.0,0.0,1,1778.5
1781.0,-52.5,3120.5,55.86143571373726,2,1781.5
1783.0,-38.0,0.0,0.0,1,1783.5
1797.0,-23.5,220.5,14.849242404917497,2,1797.5
1811.0,-28.5,24.5,4.949747468305833,2,1811.5
1815.0,-9.0,0.0,0.0,1,1815.5
1822.0,-25.0,0.0,0.0,1,1822.5
1825.0,-27.0,0.0,0.0,1,1825.5
1831.0,-18.333333333333332,2.3333333333333335,1.5275252316519468,3,1831.5
1833.0,-9.0,0.0,0.0,1,1833.5
1851.0,-20.0,0.0,0.0,1,1851.5
1854.0,-28.0,0.0,0.0,1,1854.5
1856.0,-20.0,0.0,0.0,1,1856.5
1870.0,-32.0,0.0,0.0,1,1870.5
1871.0,-23.0,0.0,0.0,1,1871.5
1877.0,-19.0,0.0,0.0,1,1877.5
1886.0,-48.0,0.0,0.0,1,1886.5
1895.0,-55.75,2055.5833333333335,45.338541367509094,4,1895.5
1903.0,-48.0,0.0,0.0,1,1903.5
1906.0,-60.0,2450.0,49.49747468305833,2,1906.5
1914.0,-57.0,2888.0,53.74011537017761,2,1914.5
1919.0,-63.0,1568.0,39.59797974644666,2,1919.5
1920.0,-54.5,2112.5,45.96194077712559,2,1920.5
1929.0,-61.0,1492.0,38.62641583165593,3,1929.5
1942.0,-44.5,1200.5,34.64823227814083,2,1942.5
1943.0,-49.5,1300.5,36.062445840513924,2,1943.5
1946.0,-55.0,882.0,29.698484809834994,2,1946.5
1951.0,-44.5,1404.5,37.476659402887016,2,1951.5
1955.0,-53.0,1058.0,32.526911934581186,2,1955.5
1957.0,-50.5,1740.5,41.71930009000631,2,1957.5
1962.0,-19.0,0.0,0.0,1,1962.5
1963.0,-56.5,1984.5,44.54772721475249,2,1963.5
1964.0,-58.0,800.0,28.284271247461902,2,1964.5
1965.0,-48.0,1682.0,41.012193308819754,2,1965.5
1967.0,-87.0,0.0,0.0,1,1967.5
1969.0,-46.5,1624.5,40.30508652763321,2,1969.5
1970.0,-54.0,694.0,26.343879744638983,6,1970.5
1971.0,-51.0,882.0,29.698484809834994,2,1971.5
1972.0,-44.5,1300.5,36.062445840513924,2,1972.5
1973.0,-45.5,1404.5,37.476659402887016,2,1973.5
1974.0,-48.75,588.25,24.253865671269807,4,1974.5
1976.0,-44.0,1250.0,35.35533905932738,2,1976.5
1977.0,-57.5,433.6666666666667,20.8246648632497,4,1977.5
1980.0,-58.75,494.25,22.23173407541571,4,1980.5
1982.0,-54.5,684.5,26.16295090390226,2,1982.5
1983.0,-52.5,264.5,16.263455967290593,2,1983.5
1984.0,-55.0,2178.0,46.66904755831214,2,1984.5
1986.0,-53.0,828.6666666666666,28.786570943178813,4,1986.5
1990.0,-55.0,1250.0,35.35533905932738,2,1990.5
1994.0,-55.75,1254.25,35.415392133929565,4,1994.5
2001.0,-60.0,800.0,28.284271247461902,2,2001.5
2004.0,-56.5,2664.5,51.61879502661797,2,2004.5
2009.0,-67.0,1458.0,38.18376618407357,2,2009.5
2016.0,-57.0,2592.0,50.91168824543142,2,2016.5
2026.0,-58.5,1740.5,41.71930009000631,2,2026.5
2031.0,-61.25,1467.5833333333333,38.309050279709794,4,2031.5
2044.0,-64.5,1740.5,41.71930009000631,2,2044.5
2047.0,-55.0,2888.0,53.74011537017761,2,2047.5
